state,postal,lat,lng,costIndex
Alabama,AL,33.2588817,-86.8295337,89.3
Alaska,AK,64.4459613,-149.680909,129.9
Arizona,AZ,34.395342,-111.7632755,97.0
Arkansas,AR,35.2048883,-92.4479108,86.9
California,CA,36.7014631,-118.7559974,151.7
Colorado,CO,38.7251776,-105.6077167,105.6
Connecticut,CT,41.6500201,-72.7342163,127.7
Delaware,DE,38.6920451,-75.4013315,108.1
Florida,FL,27.7567667,-81.4639835,97.9
Georgia,GA,32.3293809,-83.1137366,89.2
Hawaii,HI,21.2160437,-157.975203,192.9
Idaho,ID,43.6447642,-114.0154071,92.3
Illinois,IL,40.0796606,-89.4337288,94.5
Indiana,IN,40.3270127,-86.1746933,90.0
Iowa,IA,41.9216734,-93.3122705,90.1
Kansas,KS,38.27312,-98.5821872,89.0
Kentucky,KY,37.5726028,-85.1551411,90.9
Louisiana,LA,30.8703881,-92.007126,93.9
Maine,ME,45.709097,-68.8590201,117.5
Maryland,MD,39.5162234,-76.9382069,129.7
Massachusetts,MA,42.3788774,-72.032366,131.6
Michigan,MI,43.6211955,-84.6824346,88.9
Minnesota,MN,45.9896587,-94.6113288,101.6
Mississippi,MS,32.9715645,-89.7348497,86.1
Missouri,MO,38.7604815,-92.5617875,87.1
Montana,MT,47.3752671,-109.6387579,106.9
Nebraska,NE,41.7370229,-99.5873816,90.8
Nevada,NV,39.5158825,-116.8537227,108.5
New Hampshire,NH,43.4849133,-71.6553992,109.7
New Jersey,NJ,40.0757384,-74.4041622,125.1
New Mexico,NM,34.5708167,-105.993007,87.5
New York,NY,42.6588992,-80.2590355,139.1
North Carolina,NC,35.6729639,-79.0392919,94.9
North Dakota,ND,47.6201461,-100.540737,98.8
Ohio,OH,40.2253569,-82.6881395,90.8
Oklahoma,OK,34.9550817,-97.2684063,87.5
Oregon,OR,43.9792797,-120.737257,134.2
Pennsylvania,PA,40.9699889,-77.7278831,101.7
Rhode Island,RI,41.7962409,-71.5992372,119.4
South Carolina,SC,33.6874388,-80.4363743,95.9
South Dakota,SD,44.6471761,-100.348761,99.8
Tennessee,TN,35.7730076,-86.2820081,88.7
Texas,TX,31.8160381,-99.5120986,91.5
Utah,UT,39.4225192,-111.7143584,98.4
Vermont,VT,44.5990718,-72.5002608,114.5
Virginia,VA,37.1232245,-78.4927721,100.7
Washington,WA,47.2868352,-120.2126139,110.7
West Virginia,WV,38.4758406,-80.8408415,91.1
Wisconsin,WI,44.4308975,-89.6884637,97.3
Wyoming,WY,42.9015609,-109.2539886,89.3
